Year,Month,Dekad,Rainfall (mm),Average (mm),County
2017,11,1,52.659,61.453,Kitui
2017,11,2,70.692,63.564,Kitui
2017,11,3,27.265,59.767,Kitui
2017,12,1,17.293,46.51,Kitui
2017,12,2,8.564,38.997,Kitui
2017,12,3,9.601,32.392,Kitui
2018,1,1,4.472,9.903,Kitui
2018,1,2,2.063,6.676,Kitui
2018,1,3,2.616,4.882,Kitui
2018,2,1,2.151,2.809,Kitui
2018,2,2,2.72,5.463,Kitui
2018,2,3,2.577,3.788,Kitui
2018,3,1,75.692,17.525,Kitui
2018,3,2,106.57,20.676,Kitui
2018,3,3,21.178,32.028,Kitui
2018,4,1,78.383,49.067,Kitui
2018,4,2,143.676,27.889,Kitui
2018,4,3,66.737,32.315,Kitui
2018,5,1,11.417,11.794,Kitui
2018,5,2,12.163,4.916,Kitui
2018,5,3,7.06,4.819,Kitui
2018,6,1,2.535,1.09,Kitui
2018,6,2,1.454,0.43,Kitui
2018,6,3,2.308,0.592,Kitui
2018,7,1,4.236,1.302,Kitui
2018,7,2,5.133,1.556,Kitui
2018,7,3,4.17,1.877,Kitui
2018,8,1,2.426,1.74,Kitui
2018,8,2,3.38,1.472,Kitui
2018,8,3,2.647,1.674,Kitui
2018,9,1,3.269,1.7,Kitui
2018,9,2,2.555,1.616,Kitui
2018,9,3,5.112,2.777,Kitui
2018,10,1,9.97,6.275,Kitui
2018,10,2,7.952,8.076,Kitui
2018,10,3,18.891,16.942,Kitui
2018,11,1,22.877,61.453,Kitui
2018,11,2,43.454,63.564,Kitui
2018,11,3,42.535,59.767,Kitui
2018,12,1,93.428,46.51,Kitui
2018,12,2,100.173,38.997,Kitui
2018,12,3,11.138,32.392,Kitui
2019,1,1,6.501,9.903,Kitui
2019,1,2,3.552,6.676,Kitui
2019,1,3,4.075,4.882,Kitui
2019,2,1,2.57,2.809,Kitui
2019,2,2,3.593,5.463,Kitui
2019,2,3,5.262,3.788,Kitui
2019,3,1,4.758,17.525,Kitui
2019,3,2,1.997,20.676,Kitui
2019,3,3,3.306,32.028,Kitui
2019,4,1,5.664,49.067,Kitui
2019,4,2,6.723,27.889,Kitui
2019,4,3,74.555,32.315,Kitui
2019,5,1,8.209,11.794,Kitui
2019,5,2,6.184,4.916,Kitui
2019,5,3,4.208,4.819,Kitui
2019,6,1,2.244,1.09,Kitui
2019,6,2,1.604,0.43,Kitui
2019,6,3,1.341,0.592,Kitui
2019,7,1,2.025,1.302,Kitui
2019,7,2,2.54,1.556,Kitui
2019,7,3,2.332,1.877,Kitui
2019,8,1,2.786,1.74,Kitui
2019,8,2,2.039,1.472,Kitui
2019,8,3,2.613,1.674,Kitui
2019,9,1,2.288,1.7,Kitui
2019,9,2,2.359,1.616,Kitui
2019,9,3,2.97,2.777,Kitui
2019,10,1,39.723,6.275,Kitui
2019,10,2,21.448,8.076,Kitui
2019,10,3,69.303,16.942,Kitui
2019,11,1,26.296,61.453,Kitui
2019,11,2,90.559,63.564,Kitui
2019,11,3,158.616,59.767,Kitui
2019,12,1,136.843,46.51,Kitui
2019,12,2,30.919,38.997,Kitui
2019,12,3,68.248,32.392,Kitui
2020,1,1,13.942,9.903,Kitui
2020,1,2,11.164,6.676,Kitui
2020,1,3,26.846,4.882,Kitui
2020,2,1,12.176,2.809,Kitui
2020,2,2,3.323,5.463,Kitui
2020,2,3,13.549,3.788,Kitui
2020,3,1,80.64,17.525,Kitui
2020,3,2,31.383,20.676,Kitui
2020,3,3,54.589,32.028,Kitui
2020,4,1,12.785,49.067,Kitui
2020,4,2,73.36,27.889,Kitui
2020,4,3,36.01,32.315,Kitui
2020,5,1,5.54,11.794,Kitui
2020,5,2,4.568,4.916,Kitui
2020,5,3,4.7,4.819,Kitui
2020,6,1,1.275,1.09,Kitui
2020,6,2,0.827,0.43,Kitui
2020,6,3,1.06,0.592,Kitui
2020,7,1,3.886,1.302,Kitui
2020,7,2,3.59,1.556,Kitui
2020,7,3,3.003,1.877,Kitui
2020,8,1,2.411,1.74,Kitui
2020,8,2,2.354,1.472,Kitui
2020,8,3,2.777,1.674,Kitui
2020,9,1,2.857,1.7,Kitui
2020,9,2,2.022,1.616,Kitui
2020,9,3,2.211,2.777,Kitui
2020,10,1,7.824,6.275,Kitui
2020,10,2,7.517,8.076,Kitui
2020,10,3,11.001,16.942,Kitui
2020,11,1,62.111,61.453,Kitui
2020,11,2,40.75,63.564,Kitui
2020,11,3,65.88,59.767,Kitui
2020,12,1,50.704,46.51,Kitui
2020,12,2,12.785,38.997,Kitui
2020,12,3,50.064,32.392,Kitui
